NAME,POPULATION,CITY,STATE,COUNTY,COUNTYFIPS,INST_SIZE,TOT_ENROLL,TOT_EMP
DOMINICAN UNIVERSITY OF CALIFORNIA,2447,SAN RAFAEL,CA,MARIN,06041,2,1878,569
LIM COLLEGE,2150,NEW YORK,NY,NEW YORK,36061,2,1749,401
HAVERFORD COLLEGE,1992,HAVERFORD,PA,DELAWARE,42045,2,1317,675
CARIBBEAN UNIVERSITY-CAROLINA,352,CAROLINA,PR,CAROLINA,72031,1,290,62
THOMAS JEFFERSON SCHOOL OF LAW,293,SAN DIEGO,CA,SAN DIEGO,06073,1,219,74
SOUTH UNIVERSITY-AUSTIN,480,ROUND ROCK,TX,WILLIAMSON,48491,1,385,95
NORTH AMERICAN UNIVERSITY,661,STAFFORD,TX,FORT BEND,48157,1,573,88
VIRGINIA UNIVERSITY OF LYNCHBURG,334,LYNCHBURG,VA,LYNCHBURG (CITY),51680,1,270,64
MIDWAY UNIVERSITY,1597,MIDWAY,KY,WOODFORD,21239,2,1357,240
ACADEMY OF CHINESE CULTURE AND HEALTH SCIENCES,186,OAKLAND,CA,ALAMEDA,06001,1,133,53
AMERICAN COLLEGE OF EDUCATION,6371,INDIANAPOLIS,IN,MARION,18097,3,6057,314
PIEDMONT COLLEGE,3158,DEMOREST,GA,HABERSHAM,13137,2,2510,648
WILLIAM PATERSON UNIVERSITY OF NEW JERSEY,12080,WAYNE,NJ,PASSAIC,34031,4,10105,1975
MCDANIEL COLLEGE,3783,WESTMINSTER,MD,CARROLL,24013,2,2851,932
UNIVERSITY OF PUERTO RICO-PONCE,2963,PONCE,PR,PONCE,72113,2,2540,423
ABILENE CHRISTIAN UNIVERSITY,6273,ABILENE,TX,TAYLOR,48441,3,5292,981
SACRED HEART SEMINARY AND SCHOOL OF THEOLOGY,161,FRANKLIN,WI,MILWAUKEE,55079,1,105,56
WALSH COLLEGE,2074,TROY,MI,OAKLAND,26125,2,1800,274
UNITED STATES MERCHANT MARINE ACADEMY,1307,KINGS POINT,NY,"NASSAU",36059,2,1025,282
MITCHELL COLLEGE,804,NEW LONDON,CT,NEW LONDON,09011,1,642,162
ASBURY UNIVERSITY,2383,WILMORE,KY,JESSAMINE,21113,2,1940,443
UNIVERSITY OF JAMESTOWN,1368,JAMESTOWN,ND,STUTSMAN,38093,2,1115,253
THE COLLEGE OF WOOSTER,2741,WOOSTER,OH,WAYNE,39169,2,1942,799
UNIVERSITY OF FORT LAUDERDALE,93,LAUDERHILL,FL,BROWARD,12011,1,71,22
CATAWBA COLLEGE,1652,SALISBURY,NC,ROWAN,37159,2,1324,328
UNIVERSITY OF MISSOURI-KANSAS CITY,19607,KANSAS CITY,MO,JACKSON,29095,4,16388,3219
AMERICAN COLLEGE OF FINANCIAL SERVICES,7305,KING OF PRUSSIA,PA,DELAWARE,42045,3,7097,208
DEVRY UNIVERSITY-NORTH CAROLINA,110,CHARLOTTE,NC,MECKLENBURG,37119,1,72,38
UNIVERSITY OF PHOENIX-TEXAS,494,HOUSTON,TX,HARRIS,48201,1,494,-999
COASTAL PINES TECHNICAL COLLEGE,4820,WAYCROSS,GA,WARE,13299,2,4498,322
RELAY GRADUATE SCHOOL OF EDUCATION,4681,NEW YORK,NY,NEW YORK,36061,2,4276,405
HUSSIAN COLLEGE-LOS ANGELES,449,LOS ANGELES,CA,LOS ANGELES,06037,1,333,116
ATLANTIS UNIVERSITY,457,MIAMI,FL,MIAMI-DADE,12086,1,399,58
KENNESAW STATE UNIVERSITY,42040,KENNESAW,GA,COBB,13067,5,37807,4233
UNIVERSITY OF SAINT MARY,1568,LEAVENWORTH,KS,LEAVENWORTH,20103,2,1240,328
CABRINI UNIVERSITY,2534,RADNOR,PA,DELAWARE,42045,2,2075,459
ASSUMPTION COLLEGE,2987,WORCESTER,MA,WORCESTER,25027,2,2443,544
ACUPUNCTURE AND INTEGRATIVE MEDICINE COLLEGE-BERKELEY,157,BERKELEY,CA,ALAMEDA,06001,1,93,64
UNIVERSITY OF SOUTH CAROLINA-UPSTATE,7265,SPARTANBURG,SC,SPARTANBURG,45083,3,6308,957
OHIO STATE UNIVERSITY-MARION CAMPUS,1454,MARION,OH,MARION,39101,2,1274,180
AMBERTON UNIVERSITY,1170,GARLAND,TX,DALLAS,48113,2,1074,96
LETOURNEAU UNIVERSITY,3693,LONGVIEW,TX,GREGG,48183,2,3150,543
