ENSEMBL	X1_CTR_BC_2	X2_TGF_BC_4	X3_IR_BC_5	X4_CTR_BC_6	X5_TGF_BC_7	X6_IR_BC_12	X7_CTR_BC_13	X8_TGF_BC_14	X9_IR_BC_15
ENSG00000000003	1579	1547	1342	1704	1395	1264	1556	1370	1269
ENSG00000000005	0	0	0	0	0	0	0	0	1
ENSG00000000419	1774	1775	1866	1809	1921	1776	1797	1482	1980
ENSG00000000457	698	617	601	733	662	537	751	593	628
ENSG00000000460	246	309	116	224	255	108	245	289	127
ENSG00000000938	10	5	11	6	1	2	19	4	8
ENSG00000000971	6370	5238	5008	6486	5102	4832	5673	4839	4801
ENSG00000001036	4009	3335	3855	4224	2864	3688	3542	3103	4146
ENSG00000001084	1037	940	928	970	968	857	935	823	915
ENSG00000001167	1498	1622	1042	1406	1535	911	1135	1377	1082
ENSG00000001460	285	239	313	330	262	322	246	260	370
ENSG00000001461	3948	2550	7811	3677	2272	6838	3687	2753	8247
ENSG00000001497	1055	1310	1023	1005	1137	976	881	1290	1177
ENSG00000001561	55	25	99	55	32	77	88	23	95
ENSG00000001617	918	939	807	994	808	709	591	1038	984
ENSG00000001626	11	6	7	17	11	12	20	12	5
ENSG00000001629	3434	3693	2794	3585	3396	2913	3419	3030	3240
ENSG00000001630	2580	2262	2861	2739	2153	2942	2592	1899	2922
ENSG00000001631	2134	1903	1555	2214	1811	1501	2195	1555	1561
ENSG00000002016	399	456	285	417	427	250	327	372	319
ENSG00000002079	3	5	3	2	3	2	2	2	0
ENSG00000002330	634	833	651	582	620	634	481	980	872
ENSG00000002549	2011	2477	1916	2211	2108	1849	1742	2361	1964
ENSG00000002586	18007	14815	14760	19792	12985	13993	15957	15537	16031
ENSG00000002587	22	11	14	17	10	19	10	14	16
ENSG00000002726	7	2	0	3	1	1	0	3	9
ENSG00000002745	459	289	724	399	286	664	481	329	845
ENSG00000002746	96	73	112	77	60	82	72	83	91
ENSG00000002822	403	531	329	373	412	300	269	552	394
ENSG00000002834	14969	18450	12480	14965	15340	12594	12201	17478	14605
ENSG00000002919	634	752	668	576	596	775	514	657	858
ENSG00000002933	900	160	558	935	127	525	704	341	587
ENSG00000003056	4663	4982	4460	4957	4371	4555	4617	4485	4625
ENSG00000003096	322	74	100	312	107	137	332	106	105
ENSG00000003137	296	236	163	278	166	145	176	239	166
ENSG00000003147	13	12	9	10	8	3	14	12	18
ENSG00000003249	236	209	307	202	160	264	168	174	424
ENSG00000003393	2033	2424	2182	2075	2160	2280	2086	2023	2445
ENSG00000003400	168	103	157	177	103	159	204	89	137
ENSG00000003402	5041	4357	5576	5596	4162	5164	5312	3901	5967
ENSG00000003436	6344	3242	3755	6110	3053	3556	6108	3078	3323
